VARIANT,games,projected_over_picks,projected_under_picks,avg_projected_total,avg_model_edge_vs_market
T_Fix_TTail,2,2,0,175.12377311483814,28.76377311483813
T_Fix_LateFoul_OT,2,2,0,175.08899672276584,28.728996722765828
T_Fix_LateFoul,2,2,0,174.56684099114105,28.206840991141036
T_Fix_Correlated,2,2,0,173.6088856219526,27.248885621952596
T_Fix_Baseline,2,2,0,173.52178380497583,27.161783804975826
T_Fix_CalibratedSigma,2,2,0,173.5079808879986,27.147980887998585
T_Fix_MarketBlend,2,2,0,160.55935409924092,14.19935409924092
