VARIANT,avg_projected_total,avg_total_std,mean_model_edge_vs_market
T_Fix_TTail,174.74919011014873,18.401686624750116,27.166690110148735
T_Fix_LateFoul_OT,174.49434967072364,16.916078485459934,26.91184967072362
T_Fix_LateFoul,173.70701362742844,16.421166551730288,26.124513627428428
T_Fix_Baseline,171.90700332381414,11.50917746516322,24.324503323814127
T_Fix_CalibratedSigma,171.82578106042084,15.182573438457633,24.24328106042084
T_Fix_Correlated,171.80403667071562,16.36716436095971,24.221536670715608
T_Fix_MarketBlend,161.17667586888936,16.956996350813757,13.594175868889359
