canonical,bart,odds,schedule,espn
Idaho,Idaho,Idaho,Idaho,
Idaho St.,Idaho St.,Idaho St.,Idaho St.,
Illinois,Illinois,Illinois,Illinois,
Illinois Chicago,Illinois Chicago,Illinois Chicago,Illinois Chicago,
Illinois St.,Illinois St.,Illinois St.,Illinois St.,
Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,
Indiana,Indiana,Indiana,Indiana,
Indiana St.,Indiana St.,Indiana St.,Indiana St.,
Iona,Iona,Iona,Iona,
Iowa,Iowa,Iowa,Iowa,
Iowa Peacock,Iowa Peacock,Iowa Peacock,Iowa Peacock,
Iowa St.,Iowa St.,Iowa St.,Iowa St.,
Jackson St.,Jackson St.,Jackson St.,Jackson St.,
Jacksonville,Jacksonville,Jacksonville,Jacksonville,
Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville St.,
James Madison,James Madison,James Madison,James Madison,
Kansas,Kansas,Kansas,Kansas,
Kansas St.,Kansas St.,Kansas St.,Kansas St.,
Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw St.,
Kent St.,Kent St.,Kent St.,Kent St.,
Kentucky,Kentucky,Kentucky,Kentucky,
LIU,LIU,LIU,LIU,
LSU,LSU,LSU,LSU,
La Salle,La Salle,La Salle,La Salle,
Lafayette,Lafayette,Lafayette,Lafayette,
Lamar,Lamar,Lamar,Lamar,
Le Moyne,Le Moyne,Le Moyne,Le Moyne,
Lehigh,Lehigh,Lehigh,Lehigh,
Lehigh Pat-T,Lehigh Pat-T,Lehigh Pat-T,Lehigh Pat-T,
Liberty,Liberty,Liberty,Liberty,
Lindenwood,Lindenwood,Lindenwood,Lindenwood,
Lipscomb,Lipscomb,Lipscomb,Lipscomb,
Little Rock,Little Rock,Little Rock,Little Rock,
Long Beach St.,Long Beach St.,Long Beach St.,Long Beach St.,
Longwood,Longwood,Longwood,Longwood,
Louisiana,Louisiana,Louisiana,Louisiana,
Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,
Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,
Louisville,Louisville,Louisville,Louisville,
