MODEL_SPREAD,MARKET_LINE,RESULT,PROFIT
-2.3042991948902856,-25.0,1,90.9090909090909
-3.2899912316940405,-17.0,1,90.9090909090909
0.16144167750038285,-5.0,-1,-100.0
-18.60312543702583,-6.0,-1,-100.0
-1.3396389234723873,11.0,1,90.9090909090909
-9.592427425865461,2.5,1,90.9090909090909
-9.363642434270995,-11.5,1,90.9090909090909
-2.708590116385844,-7.0,-1,-100.0
-4.445080155588977,-19.0,1,90.9090909090909
-10.693167714318031,-7.5,1,90.9090909090909
9.398255504194621,-28.0,1,90.9090909090909
-5.458778864879045,2.0,1,90.9090909090909
-0.7809113287098857,-9.0,-1,-100.0
-2.5955557412832153,-10.0,1,90.9090909090909
2.2751641212273253,-12.5,1,90.9090909090909
-14.500371371312207,24.0,-1,-100.0
-6.870152777885716,9.0,-1,-100.0
-8.804158589738714,11.5,1,90.9090909090909
-11.159776676695225,-5.5,-1,-100.0
1.2179574676446148,-5.0,-1,-100.0
-6.575006952829364,-20.0,-1,-100.0
7.955852617090072,-11.0,1,90.9090909090909
-11.971531937798213,-17.0,-1,-100.0
-8.158850219733518,-5.5,-1,-100.0
-9.087929995114324,-4.5,1,90.9090909090909
-10.992335436385156,6.0,1,90.9090909090909
1.1724020518520089,-6.0,1,90.9090909090909
-5.660352625375234,-1.0,-1,-100.0
-7.236903962770024,6.0,1,90.9090909090909
-8.042668475858429,12.0,1,90.9090909090909
-1.568840014981527,-10.5,1,90.9090909090909
-1.7812458345154685,9.0,-1,-100.0
-8.042668475858429,12.0,1,90.9090909090909
8.928533649338823,15.0,1,90.9090909090909
-5.608913035559491,-14.5,-1,-100.0
-0.6014002908061205,-3.0,1,90.9090909090909
-5.045053921139692,12.0,-1,-100.0
-8.644051556914272,9.5,-1,-100.0
2.136892281186837,-10.5,1,90.9090909090909
3.9115982952628254,-5.0,-1,-100.0
-2.221964244125255,-6.0,-1,-100.0
-2.148037414222353,-6.0,1,90.9090909090909
-7.5356829660034155,-13.5,1,90.9090909090909
-5.045053921139692,12.5,-1,-100.0
-6.238139764718321,1.0,1,90.9090909090909
3.6819174017945695,-3.0,0,0.0
-2.3064778602158302,-6.0,-1,-100.0
-12.999552027195955,-20.0,0,0.0
-6.553715590722399,-13.0,-1,-100.0
3.4119600981475227,-2.0,1,90.9090909090909
-13.205456431701117,-2.5,-1,-100.0
-14.039410100855088,-6.0,1,90.9090909090909
-9.127918459640968,-24.0,1,90.9090909090909
1.7448093091203614,-2.0,1,90.9090909090909
10.34374246899508,-10.5,-1,-100.0
-5.883608157896342,-1.0,1,90.9090909090909
-2.5926514614430776,-5.5,1,90.9090909090909
-6.621636900408882,1.5,-1,-100.0
-3.8692916894889127,14.0,-1,-100.0
-0.7303831251800919,-8.0,0,0.0
-10.041271724736612,-5.5,-1,-100.0
-10.810016996056513,2.5,-1,-100.0
-3.733701059725542,-10.0,1,90.9090909090909
-2.9395654322821603,-10.0,-1,-100.0
-15.636895312954161,-29.5,1,90.9090909090909
1.0439832622718992,5.5,-1,-100.0
-0.07279001002857832,-5.5,1,90.9090909090909
0.044232460731668866,-23.0,-1,-100.0
0.25604158774760855,-8.5,-1,-100.0
1.2580158906806584,-24.5,-1,-100.0
-8.340799552697115,-15.0,1,90.9090909090909
3.5533709256439376,-2.5,-1,-100.0
-10.344583071350465,-18.5,-1,-100.0
1.2154267776668402,-4.5,1,90.9090909090909
-7.422000899583773,2.5,-1,-100.0
4.112318818800267,-6.0,1,90.9090909090909
-1.7878556422124863,-5.5,1,90.9090909090909
-0.1730982054809207,-9.0,-1,-100.0
0.3378885400780316,-13.0,-1,-100.0
-11.391701514708197,-19.5,1,90.9090909090909
-9.87154967912833,6.0,1,90.9090909090909
-1.3130202831733673,-5.0,1,90.9090909090909
-9.565188094743116,-5.0,1,90.9090909090909
-0.43515126032684215,-8.0,-1,-100.0
2.175283867732082,-7.0,-1,-100.0
3.0719651049139483,-2.0,1,90.9090909090909
-4.450892392735534,-8.5,1,90.9090909090909
-1.749903816819577,-14.0,1,90.9090909090909
0.5873449887468407,-7.0,-1,-100.0
-0.7411994510223483,-18.0,1,90.9090909090909
-8.971488735803769,-18.5,1,90.9090909090909
-5.647351777776558,8.0,-1,-100.0
-6.098570331313718,4.5,-1,-100.0
-3.6094406587981442,1.5,1,90.9090909090909
-6.615513643851068,-14.0,-1,-100.0
-10.38719870312695,-3.0,1,90.9090909090909
-0.5797529548726832,-9.5,-1,-100.0
-2.329303596904049,2.0,0,0.0
-1.2366875038373824,-14.5,1,90.9090909090909
-1.630222290730325,-8.0,-1,-100.0
-10.581136189969564,6.5,1,90.9090909090909
-9.563036397933141,7.5,1,90.9090909090909
6.177346154161091,12.5,1,90.9090909090909
-1.5394528616100818,-6.0,1,90.9090909090909
0.9872396811006521,-20.5,1,90.9090909090909
-0.0011560650272972595,-12.0,-1,-100.0
-12.020240128547082,-32.5,1,90.9090909090909
-1.5231510356695939,7.5,-1,-100.0
-3.359564690066785,3.5,1,90.9090909090909
-6.916619017069111,10.5,1,90.9090909090909
-0.8452065584234507,-13.0,-1,-100.0
-11.236262709083912,-3.5,1,90.9090909090909
-1.022518204175606,-24.5,1,90.9090909090909
-15.112391922988886,-9.5,1,90.9090909090909
-6.348947259966517,5.5,-1,-100.0
-0.21686793025649287,8.0,-1,-100.0
-13.250362331965883,17.0,1,90.9090909090909
0.8271438411041228,-15.0,-1,-100.0
2.1770314854291453,-3.5,-1,-100.0
-3.101242180571214,3.5,-1,-100.0
-8.628794513732283,5.0,1,90.9090909090909
-5.978704305928739,1.0,1,90.9090909090909
-3.1154763217791643,-7.5,1,90.9090909090909
-8.589466465724763,-5.0,1,90.9090909090909
-7.468675281995099,-1.5,1,90.9090909090909
-0.6104447216390501,-3.5,1,90.9090909090909
-8.462447771830634,-10.5,-1,-100.0
-1.0579567544406192,-14.5,-1,-100.0
-7.2741038823276885,-12.0,1,90.9090909090909
-9.473671551878775,5.0,-1,-100.0
-7.1364169816749925,-11.5,1,90.9090909090909
-19.150643638782874,14.5,-1,-100.0
-2.727176902683931,-7.0,1,90.9090909090909
-2.296771908282162,4.5,-1,-100.0
-6.0653084596409546,2.0,1,90.9090909090909
-9.33854344637883,-3.0,1,90.9090909090909
-7.055589612018617,9.5,1,90.9090909090909
-2.1312682189838004,-7.5,-1,-100.0
-4.667765218361902,12.5,1,90.9090909090909
-5.093417560569245,2.5,-1,-100.0
-8.725552576357552,9.5,1,90.9090909090909
-6.532311570422559,-4.5,-1,-100.0
0.40767249527929117,-3.0,1,90.9090909090909
-0.1861149455718536,-7.0,1,90.9090909090909
0.6514670895385191,-23.0,1,90.9090909090909
4.247188822470823,-3.5,-1,-100.0
1.7591114859772343,-3.5,-1,-100.0
-19.91937364639221,9.5,-1,-100.0
-2.3246136403915987,3.0,1,90.9090909090909
-9.406965451665167,0.0,-1,-100.0
1.5563245706166011,4.0,0,0.0
-11.2433073433619,-3.5,1,90.9090909090909
-1.6815857558132539,6.0,1,90.9090909090909
-12.155189715910916,-4.5,-1,-100.0
-8.28778237950649,2.5,-1,-100.0
5.432458437955978,-18.0,1,90.9090909090909
