Game Time,MODEL_HOME,MODEL_AWAY,Spread,Total,OE Diff,DE Diff,Spread Edge,Model Spread,Total Edge,Model Total,HOME_N,AWAY_N,HOME_KEY,AWAY_KEY,MATCHUP_KEY,MODEL_GAME_TIME_UTC,MODEL_GAME_DATE_CENTRAL,ROW_ID,MATCH_STATUS,MATCH_NOTE,SCORE_GAME_ID,SCORE_SOURCE,SCORE_STATUS,SCORE_GAME_DATE_CENTRAL,ACTUAL_HOME_SCORE,ACTUAL_AWAY_SCORE,ACTUAL_MARGIN,ACTUAL_TOTAL,SPREAD_LEAN,TOTAL_LEAN,SPREAD_RESULT,TOTAL_RESULT,PRED_MARGIN,MARKET_IMPLIED_MARGIN,SPREAD_PROJ_ERROR,SPREAD_PROJ_ABS_ERROR,MARKET_SPREAD_ERROR,TOTAL_PROJ_ERROR,TOTAL_PROJ_ABS_ERROR,MARKET_TOTAL_ERROR,SPREAD_EDGE_ABS,TOTAL_EDGE_ABS,SPREAD_EDGE_BUCKET,TOTAL_EDGE_BUCKET,SPREAD_EDGE_HIT,TOTAL_EDGE_HIT
2026-04-04T20:00:00Z,Creighton,West Virginia,1.5,136.5,6.0,-7.700000000000003,-4.4,-2.9,-17.700000000000003,118.8,Creighton,West Virginia,creighton,westvirginia,creighton|westvirginia,2026-04-04 20:00:00+00:00,2026-04-04,0,UNMATCHED,No final score found for matchup key.,,,,,,,,,HOME,UNDER,,,2.9,-1.5,,,,,,,4.4,17.700000000000003,4-6,10+,,
2026-04-04T22:09:00Z,Connecticut,Illinois,1.5,139.5,-8.700000000000003,2.700000000000003,6.3,7.8,6.300000000000011,145.8,Connecticut,Illinois,connecticut,illinois,connecticut|illinois,2026-04-04 22:09:00+00:00,2026-04-04,1,UNMATCHED,No final score found for matchup key.,,,,,,,,,AWAY,OVER,,,-7.8,-1.5,,,,,,,6.3,6.300000000000011,6-8,6-8,,
2026-04-05T00:49:00Z,Arizona,Michigan,1.5,157.5,-1.200000000000017,0.5,-1.9,-0.4,11.300000000000011,168.8,Arizona,Michigan,arizona,michigan,arizona|michigan,2026-04-05 00:49:00+00:00,2026-04-04,2,UNMATCHED,No final score found for matchup key.,,,,,,,,,HOME,OVER,,,0.4,-1.5,,,,,,,1.9,11.300000000000011,<=2,10+,,
