DATE,HOME,AWAY,MODEL_SPREAD,ACTUAL_MARGIN,RESULT
2023-12-10 00:00:00+00:00,northern kentucky,akron,1.44,-1,-1
2024-01-03 01:00:00+00:00,northern illinois,akron,2.99,-22,-1
2024-01-06 02:00:00+00:00,akron,bowling green,3.45,16,1
2024-01-13 00:00:00+00:00,akron,buffalo,5.69,17,1
2024-01-17 00:00:00+00:00,akron,western michigan,3.76,11,1
2024-01-24 00:00:00+00:00,akron,ohio,3.04,9,1
2024-01-31 00:00:00+00:00,eastern michigan,akron,-0.0,-31,1
2024-02-03 02:00:00+00:00,akron,toledo,2.5,7,1
2024-02-07 00:00:00+00:00,akron,central michigan,4.97,21,1
2024-02-10 23:00:00+00:00,james madison,akron,3.5,14,1
2024-02-17 19:00:00+00:00,buffalo,akron,0.31,-11,-1
2024-02-21 00:00:00+00:00,toledo,akron,3.5,8,1
2024-02-28 00:00:00+00:00,ohio,akron,2.96,7,1
2024-03-02 23:00:00+00:00,akron,northern illinois,3.01,7,1
2024-03-06 00:00:00+00:00,akron,eastern michigan,6.0,-1,-1
2024-03-08 23:00:00+00:00,western michigan,akron,2.24,6,1
2024-11-13 03:00:00+00:00,saint mary's,akron,2.02,19,1
2024-11-22 23:00:00+00:00,akron,lamar,2.88,7,1
2024-11-24 20:00:00+00:00,akron,alabama,2.29,19,1
2024-12-04 00:00:00+00:00,akron,northern kentucky,2.49,13,1
2024-12-15 18:30:00+00:00,milwaukee,akron,3.33,19,1
2024-12-21 00:00:00+00:00,yale,akron,1.98,16,1
2023-01-07 18:00:00+00:00,alabama,kentucky,4.61,26,1
2023-01-12 00:00:00+00:00,arkansas,alabama,3.11,-15,-1
2023-01-14 21:10:00+00:00,alabama,lsu,4.21,40,1
2023-01-18 01:30:00+00:00,vanderbilt,alabama,1.06,-12,-1
2023-01-21 23:00:00+00:00,missouri,alabama,1.51,-21,-1
2023-01-26 02:00:00+00:00,alabama,mississippi,5.83,3,1
2023-01-28 19:00:00+00:00,oklahoma,alabama,0.7,24,1
2023-02-01 01:30:00+00:00,alabama,vanderbilt,4.94,57,1
2023-02-04 21:00:00+00:00,lsu,alabama,1.79,-10,-1
2023-02-09 02:00:00+00:00,alabama,florida,3.06,28,1
2023-02-11 19:10:00+00:00,auburn,alabama,3.25,-8,-1
2023-02-16 00:00:00+00:00,tennessee,alabama,2.1,9,1
2023-02-18 23:00:00+00:00,alabama,georgia,3.51,49,1
2023-03-02 00:00:00+00:00,alabama,auburn,2.75,5,1
2023-03-10 18:00:00+00:00,alabama,mississippi,5.83,23,1
2023-03-11 18:00:00+00:00,alabama,missouri,4.49,11,1
2023-11-11 01:00:00+00:00,alabama,indiana,4.54,22,1
2023-11-15 01:00:00+00:00,alabama,south alabama,7.24,56,1
2023-11-18 01:00:00+00:00,alabama,mercer,4.8,31,1
2023-11-25 00:00:00+00:00,ohio,alabama,1.08,11,1
2023-11-25 21:00:00+00:00,oregon,alabama,2.02,-8,-1
2023-11-29 02:30:00+00:00,alabama,clemson,4.33,-8,-1
2023-12-05 01:00:00+00:00,alabama,arkansas,2.89,24,1
2023-12-09 18:30:00+00:00,purdue,alabama,3.19,6,1
2023-12-21 04:00:00+00:00,arizona,alabama,2.91,13,1
2023-12-23 21:00:00+00:00,alabama,eastern kentucky,4.99,44,1
2023-12-30 19:00:00+00:00,alabama,liberty,4.97,45,1
2024-01-06 20:30:00+00:00,vanderbilt,alabama,1.95,-3,-1
2024-01-10 00:00:00+00:00,alabama,south carolina,5.11,27,1
2024-01-14 01:30:00+00:00,mississippi,alabama,1.66,-8,-1
2024-01-17 00:00:00+00:00,alabama,missouri,3.84,18,1
2024-01-20 19:00:00+00:00,tennessee,alabama,2.93,20,1
2024-01-28 01:00:00+00:00,alabama,lsu,3.09,21,1
2024-01-31 23:30:00+00:00,georgia,alabama,1.72,-9,-1
2024-02-04 01:30:00+00:00,alabama,mississippi,4.34,32,1
